case_id,system,category,difficulty,n_drugs,error,latency_s,llm_calls,prompt_tokens,completion_tokens,safety_flags,output_words,failed,rouge1_f,rouge1_r,rouge1_p,rouge2_f,rouge2_r,rouge2_p,rougeL_f,rougeL_r,rougeL_p,bleu,chrf,fact_coverage,facts_hit,facts_total,facts_missing,fk_grade,smog,reading_ease,words,in_target_band,leak_count,abbrev_clean,leaked,structure,headings_present,has_disclaimer
G01,rule,pain,easy,1,,0.011,0,0,0,0,257,False,0.47058823529411764,0.7154471544715447,0.350597609561753,0.21505376344086025,0.32786885245901637,0.16,0.32620320855614976,0.4959349593495935,0.24302788844621515,11.554247349270947,46.81948409977315,1.0,8,8,,6.74,10.06,67.99,234,True,0,True,,1.0,6,True
G02,rule,gi,easy,1,,0.001,0,0,0,0,240,False,0.5057471264367817,0.7586206896551724,0.3793103448275862,0.2312138728323699,0.34782608695652173,0.17316017316017315,0.3103448275862069,0.46551724137931033,0.23275862068965517,11.77239269291034,51.635294725612944,1.0,7,7,,6.1,9.12,69.94,217,True,0,True,,1.0,6,True
G03,rule,antibiotic,easy,1,,0.001,0,0,0,0,264,False,0.4907651715039578,0.744,0.3661417322834646,0.23872679045092837,0.3629032258064516,0.17786561264822134,0.32717678100263853,0.496,0.2440944881889764,12.828268089705121,53.06863559568941,1.0,8,8,,9.09,11.51,50.45,241,False,0,True,,1.0,6,True
G04,rule,antibiotic,easy,2,,0.001,0,0,0,0,352,False,0.42982456140350883,0.8376068376068376,0.2890855457227139,0.14537444933920707,0.28448275862068967,0.09763313609467456,0.2412280701754386,0.4700854700854701,0.16224188790560473,6.006484866258316,43.935234898066206,1.0,9,9,,6.91,10.31,63.7,329,True,0,True,,1.0,6,True
G05,rule,chronic,medium,2,,0.001,0,0,0,1,490,False,0.3821656050955414,0.7843137254901961,0.25263157894736843,0.17891373801916932,0.3684210526315789,0.11814345991561181,0.22929936305732487,0.47058823529411764,0.15157894736842106,8.067548846844097,45.35753022021847,1.0,11,11,,6.64,9.36,69.16,467,True,0,True,,1.0,6,True
G06,rule,mixed,medium,3,,0.002,0,0,0,1,587,False,0.31593794076163606,0.8296296296296296,0.1951219512195122,0.13578500707213578,0.3582089552238806,0.08376963350785341,0.231311706629055,0.6074074074074074,0.14285714285714285,4.148829029738218,40.32359323233069,1.0,10,10,,7.88,10.33,59.62,564,True,0,True,,1.0,6,True
G07,rule,safety,hard,2,,0.001,0,0,0,3,541,False,0.3874813710879284,0.8843537414965986,0.2480916030534351,0.1973094170403587,0.4520547945205479,0.12619502868068833,0.28912071535022354,0.6598639455782312,0.1851145038167939,9.079428035210256,49.241619813943096,1.0,10,10,,6.75,9.75,68.29,518,True,0,True,,1.0,6,True
G08,rule,safety,hard,1,,0.0,0,0,0,3,407,False,0.4524714828897338,0.9015151515151515,0.3020304568527919,0.26717557251908397,0.5343511450381679,0.178117048346056,0.2965779467680608,0.5909090909090909,0.19796954314720813,13.59225661337538,52.87345317253379,1.0,7,7,,7.06,10.31,65.68,384,True,0,True,,1.0,6,True
G09,rule,safety,hard,1,,0.001,0,0,0,1,297,False,0.40987654320987654,0.7094017094017094,0.2881944444444444,0.21339950372208435,0.3706896551724138,0.14982578397212543,0.2617283950617284,0.452991452991453,0.1840277777777778,10.128785048482406,46.09179047796564,1.0,7,7,,7.5,11.3,63.65,274,True,0,True,,1.0,6,True
G10,rule,chronic,medium,2,,0.001,0,0,0,2,562,False,0.37337192474674386,0.8835616438356164,0.23669724770642203,0.23802612481857763,0.5655172413793104,0.15073529411764705,0.2547033285094067,0.6027397260273972,0.1614678899082569,11.770372303229355,49.07011948641522,1.0,9,9,,7.2,10.19,67.89,539,True,0,True,,1.0,6,True
G11,rule,safety,hard,2,,0.001,0,0,0,2,488,False,0.3913764510779436,0.8805970149253731,0.2515991471215352,0.22961730449251247,0.518796992481203,0.14743589743589744,0.3150912106135987,0.7089552238805971,0.2025586353944563,11.936331137698113,50.74460759432916,1.0,9,9,,6.17,9.12,70.7,465,True,0,True,,1.0,6,True
G12,rule,pediatric,medium,3,,0.001,0,0,0,1,619,False,0.33957219251336906,0.8639455782312925,0.2113144758735441,0.1903485254691689,0.4863013698630137,0.11833333333333333,0.2647058823529412,0.673469387755102,0.16472545757071547,9.423208551135016,43.201145763385554,1.0,10,10,,6.3,10.02,72.22,596,True,0,True,,1.0,6,True
G13,rule,safety,hard,2,,0.001,0,0,0,2,404,False,0.3584905660377359,0.7037037037037037,0.24050632911392406,0.14772727272727273,0.291044776119403,0.09898477157360407,0.17358490566037735,0.34074074074074073,0.11645569620253164,6.182799222573628,43.88319984903849,1.0,8,8,,6.32,9.17,69.12,381,True,0,True,,1.0,6,True
G14,rule,safety,hard,2,,0.001,0,0,0,3,538,False,0.36363636363636365,0.8759124087591241,0.2294455066921606,0.22796352583586627,0.5514705882352942,0.14367816091954022,0.2727272727272727,0.656934306569343,0.17208413001912046,10.853134826409741,49.85552061718829,1.0,7,7,,7.7,10.45,62.62,515,True,0,True,,1.0,6,True
